4370.29	556.82
4386.70	556.43
4403.06	555.37
4419.48	557.20
4435.89	555.17
4452.29	553.59
4468.79	554.79
4485.15	554.10
4501.60	554.20
4518.01	553.71
4534.45	554.00
4550.87	553.07
4567.28	553.00
4583.76	552.12
4600.12	552.50
4616.62	551.51
4633.07	553.09
4649.42	550.96
4665.85	550.62
4682.25	551.31
4698.62	550.73
4715.04	550.64
4731.42	550.17
4747.89	548.64
4764.29	548.50
4780.75	548.73
4797.23	549.43
4813.64	548.65
4830.10	549.46
4846.54	548.04
4862.85	548.31
4879.37	547.20
4895.78	545.48
4912.25	547.95
4928.62	548.35
4944.93	546.60
4961.42	546.57
4977.84	546.70
4994.28	546.64
5010.68	545.10
5027.03	547.23
